name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.stemblock.stem1.conv,"kernel=3x3,stride=2x2,pad=1x1,num_out=32","[1, 3, 224, 224]","[1, 32, 112, 112]",10838016,10838016,0,21676032,864,401408
features.stemblock.stem1.norm,None,"[1, 32, 112, 112]","[1, 32, 112, 112]",401408,401408,0,802816,0,401408
features.stemblock.pool,"kernel=2x2,stride=2x2,pad=0x0,type=max","[1, 32, 112, 112]","[1, 32, 56, 56]",0,0,301056,301056,0,100352
features.stemblock.stem2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=16","[1, 32, 112, 112]","[1, 16, 112, 112]",6422528,6422528,0,12845056,512,200704
features.stemblock.stem2a.norm,None,"[1, 16, 112, 112]","[1, 16, 112, 112]",200704,200704,0,401408,0,200704
features.stemblock.stem2b.conv,"kernel=3x3,stride=2x2,pad=1x1,num_out=32","[1, 16, 112, 112]","[1, 32, 56, 56]",14450688,14450688,0,28901376,4608,100352
features.stemblock.stem2b.norm,None,"[1, 32, 56, 56]","[1, 32, 56, 56]",100352,100352,0,200704,0,100352
features.stemblock.stem3.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 64, 56, 56]","[1, 32, 56, 56]",6422528,6422528,0,12845056,2048,100352
features.stemblock.stem3.norm,None,"[1, 32, 56, 56]","[1, 32, 56, 56]",100352,100352,0,200704,0,100352
features.denseblock1.denselayer1.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=16","[1, 32, 56, 56]","[1, 16, 56, 56]",1605632,1605632,0,3211264,512,50176
features.denseblock1.denselayer1.branch1a.norm,None,"[1, 16, 56, 56]","[1, 16, 56, 56]",50176,50176,0,100352,0,50176
features.denseblock1.denselayer1.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 56, 56]","[1, 16, 56, 56]",7225344,7225344,0,14450688,2304,50176
features.denseblock1.denselayer1.branch1b.norm,None,"[1, 16, 56, 56]","[1, 16, 56, 56]",50176,50176,0,100352,0,50176
features.denseblock1.denselayer1.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=16","[1, 32, 56, 56]","[1, 16, 56, 56]",1605632,1605632,0,3211264,512,50176
features.denseblock1.denselayer1.branch2a.norm,None,"[1, 16, 56, 56]","[1, 16, 56, 56]",50176,50176,0,100352,0,50176
features.denseblock1.denselayer1.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 56, 56]","[1, 16, 56, 56]",7225344,7225344,0,14450688,2304,50176
features.denseblock1.denselayer1.branch2b.norm,None,"[1, 16, 56, 56]","[1, 16, 56, 56]",50176,50176,0,100352,0,50176
features.denseblock1.denselayer1.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 56, 56]","[1, 16, 56, 56]",7225344,7225344,0,14450688,2304,50176
features.denseblock1.denselayer1.branch2c.norm,None,"[1, 16, 56, 56]","[1, 16, 56, 56]",50176,50176,0,100352,0,50176
features.denseblock1.denselayer2.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=16","[1, 64, 56, 56]","[1, 16, 56, 56]",3211264,3211264,0,6422528,1024,50176
